and_depth,trial,n_vars,n_ands,n_ors,n_nots,peak_mul,peak_conv,peak_gap,peak_ratio,final_mul,final_conv,final_gap,final_ratio,mul_nodes,conv_nodes,mul_peak_supp,conv_peak_supp,has_gap,formula_len
1,143,10,1,24,11,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,295,295,32,32,0,160
1,144,10,1,11,7,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,149,149,17,17,0,83
1,145,10,1,18,3,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,203,203,65,65,0,106
1,146,10,1,14,9,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,187,187,4,4,0,104
1,147,10,1,20,14,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,267,267,9,9,0,149
1,148,10,1,19,10,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,241,241,64,64,0,132
1,149,10,1,17,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,217,217,16,16,0,119
1,150,10,1,17,8,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,213,213,65,65,0,116
1,151,10,1,15,7,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,189,189,9,9,0,103
1,152,10,1,16,7,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,199,199,17,17,0,108
1,153,10,1,22,12,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,279,279,65,65,0,153
1,154,10,1,14,9,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,187,187,32,32,0,104
1,155,10,1,14,7,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,179,179,16,16,0,98
1,156,10,1,8,7,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,119,119,16,16,0,68
1,157,10,1,18,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,227,227,17,17,0,124
1,158,10,1,11,8,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,153,153,32,32,0,86
1,159,10,1,11,6,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,145,145,33,33,0,80
1,160,10,1,13,9,2.96875,2.96875,0.0,1.0,2.80078125,2.796875,0.00390625,1.001397,177,177,64,64,1,99
1,161,10,1,18,11,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,235,235,32,32,0,130
1,162,10,1,11,3,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,133,133,33,33,0,71
1,163,10,1,12,8,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,163,163,33,33,0,91
1,164,10,1,19,15,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,261,261,32,32,0,147
1,165,10,1,15,6,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,185,185,9,9,0,100
1,166,10,1,9,6,2.875,2.875,0.0,1.0,1.75,1.75,0.0,1.0,125,125,17,17,0,70
1,167,10,1,16,5,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,191,191,64,64,0,102
1,168,10,1,26,13,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,323,323,17,17,0,176
1,169,10,1,12,9,2.9375,2.9375,0.0,1.0,1.875,1.875,0.0,1.0,167,167,32,32,0,94
1,170,10,1,15,6,2.9921875,2.9921875,0.0,1.0,1.99609375,1.99609375,0.0,1.0,185,185,256,256,0,100
1,171,10,1,14,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,183,183,17,17,0,101
1,172,10,1,13,9,2.96875,2.96875,0.0,1.0,1.9375,1.9375,0.0,1.0,177,177,64,64,0,99
1,173,10,1,19,13,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,253,253,9,9,0,141
1,174,10,1,14,7,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,179,179,32,32,0,98
1,175,10,1,24,15,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,311,311,17,17,0,172
1,176,10,1,14,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,183,183,9,9,0,101
1,177,10,1,12,8,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,163,163,17,17,0,91
1,178,10,1,19,10,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,241,241,65,65,0,132
1,179,10,1,17,10,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,221,221,9,9,0,122
1,180,10,1,7,4,2.84375,2.96875,-0.125,0.957895,2.84375,2.96875,-0.125,0.957895,97,97,44,64,1,54
1,181,10,1,12,6,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,155,155,5,5,0,85
1,182,10,1,12,9,2.875,2.875,0.0,1.0,1.5,1.5,0.0,1.0,167,167,17,17,0,94
